Binomial,Range size (sq km),Log10 range size,Body mass (g),Log10 body mass,Population density (individuals/ha),Log10 population density,Study area (ha),Log10 study area,iqr mean annual temperature,iqr precipitation,iqr seasonality,iqr altitude,iqr NPP,iqr solar radiation,Diet (Proxy for Trophic level),Biogeographical realm,Range size within biogeographical realm (sq km),Population density and study area reference,Taxonomic group
Ploceus ocularis,2998768.978,6.477,25.200,1.401,0.083,-1.081,100.000,2.000,219.000,1019.000,2254.000,996.500,11.764,63.358,Carnivorous,Afrotropic,2998751.118,"Vernon, C. J. (1985) Bird populations in two woodlands near Lake Kyle, Zimbabwe. Honeyguide 31: 148-161.",Birds
Ploceus pelzelni,559628.924,5.748,12.650,1.102,1.404,0.147,0.346,-0.461,240.000,1294.000,662.000,723.000,11.829,48.504,Herbivorous,Afrotropic,559625.873,"Jones, P., Vickery, J., Holt, S. and Cresswell, W. (1996) A preliminary assessment of some factors influencing the density and distribution of palearctic passerine migrants wintering in the Sahel zone of West Africa. Bird Study 43: 73-84.",Birds
Ploceus velatus,3539475.255,6.549,30.940,1.491,0.020,-1.699,100.000,2.000,199.000,465.000,3716.500,1052.000,11.330,72.946,Omnivorous,Afrotropic,3539436.610,"Dean, W. R. J. (1995) Where birds are rare or fill the air: the protection of the endemic and the nomadic avifaunas of the Karoo. PhD thesis, Zoology Dept, University of Cape Town.",Birds
Ploceus xanthops,2482151.043,6.395,40.640,1.609,0.020,-1.699,100.000,2.000,210.000,965.000,2435.000,1119.000,11.744,63.742,Omnivorous,Afrotropic,2482149.524,"Vernon, C. J. (1985) Bird populations in two woodlands near Lake Kyle, Zimbabwe. Honeyguide 31: 148-161.",Birds
Pogoniulus chrysoconus,10200974.690,7.009,10.800,1.033,0.100,-1.000,100.000,2.000,248.000,984.000,2006.000,562.000,11.661,65.112,Herbivorous,Afrotropic,10189210.970,"Tarboton, W. R. (1980) Avan populations in the Transvaal savanna. Proc. IV Pan-Afr. Orn. Congr. 113-124.",Birds
Poicephalus senegalus,2714310.723,6.434,147.000,2.167,0.110,-0.959,0.346,-0.461,271.000,1033.000,1943.000,293.000,11.546,64.175,Herbivorous,Afrotropic,2713342.587,"Jones, P., Vickery, J., Holt, S. and Cresswell, W. (1996) A preliminary assessment of some factors influencing the density and distribution of palearctic passerine migrants wintering in the Sahel zone of West Africa. Bird Study 43: 73-84.",Birds
Polioptila guianensis,1413225.557,6.150,5.960,0.775,0.016,-1.796,2.500,0.398,264.000,2317.000,443.000,101.000,11.999,43.004,Carnivorous,Neotropic,1413186.777,"Thiollay, J-M. (1992) Influence of selective logging on bird species diversity in a Guianan rain forest. Cons. Biol. 6: 47-63",Birds
Polioptila plumbea,6791027.913,6.832,6.000,0.778,0.039,-1.415,2.500,0.398,261.000,2157.000,559.000,157.000,11.979,48.271,Carnivorous,Neotropic,6788786.115,"Thiollay, J. M. (1986) Structure comparee du peuplement avien dans trois sites de foret primaire en Guyane. Revue d'Ecologie (Terre et la Vie) 41: 59-105.",Birds
Polyboroides typus,14891994.930,7.173,633.240,2.802,0.025,-1.602,0.280,-0.553,240.000,1077.000,1502.000,641.000,11.727,62.475,Carnivorous,Afrotropic,14886640.490,"Monadjem, A. (2002) Population densities and community structure of birds in Acacia savanna in the lowveld of Swaziland. Ostrich 73: 11-19.",Birds
Porphyrolaema porphyrolaema,2187285.558,6.340,60.000,1.778,0.020,-1.699,97.000,1.987,259.000,2412.000,432.000,142.000,11.991,40.413,Herbivorous,Neotropic,2187309.364,"Terborgh, J., Robinson, S. K., Parker, T. A., Munn, C. A. and Pierpont, N. (1990) Structure and organization of an Amazonian Forest bird community. Ecological Monographs 60: 213-238.",Birds
Prinia flavicans,2717284.327,6.434,8.730,0.941,0.172,-0.766,100.000,2.000,200.000,413.000,3986.000,1099.000,11.185,75.225,Carnivorous,Afrotropic,2717275.498,"Tarboton, W. R. (1980) Avan populations in the Transvaal savanna. Proc. IV Pan-Afr. Orn. Congr. 113-124.",Birds
Prinia maculosa,581624.989,5.765,9.000,0.954,0.074,-1.130,8.720,0.941,160.000,338.500,4394.500,976.000,11.055,73.688,Carnivorous,Afrotropic,581601.558,"Winterbottom, J. M. (1946) The density of Karroo birds. Ostrich 17: 172-176.",Birds
Prinia subflava,14610957.400,7.165,8.640,0.937,0.140,-0.854,100.000,2.000,245.000,999.000,1680.000,593.000,11.689,63.983,Carnivorous,Afrotropic,14610945.700,"Tarboton, W. R. (1980) Avan populations in the Transvaal savanna. Proc. IV Pan-Afr. Orn. Congr. 113-124.",Birds
Prionops plumatus,10670453.090,7.028,33.780,1.529,0.260,-0.585,100.000,2.000,241.000,947.000,1827.000,674.000,11.655,65.350,Carnivorous,Afrotropic,10670432.130,"Tarboton, W. R. (1980) Avan populations in the Transvaal savanna. Proc. IV Pan-Afr. Orn. Congr. 113-124.",Birds
Prionops retzii,4450595.528,6.648,50.110,1.700,1.700,0.230,100.000,2.000,218.000,925.000,2418.000,1055.000,11.725,65.404,Carnivorous,Afrotropic,4450688.189,"Vernon, C. J. (1985) Bird populations in two woodlands near Lake Kyle, Zimbabwe. Honeyguide 31: 148-161.",Birds
Prodotiscus zambesiae,3997394.777,6.602,10.200,1.009,0.040,-1.398,100.000,2.000,216.000,965.000,2199.000,1117.000,11.747,64.758,Carnivorous,Afrotropic,3997389.410,"Vernon, C. J. (1985) Bird populations in two woodlands near Lake Kyle, Zimbabwe. Honeyguide 31: 148-161.",Birds
Psarisomus dalhousiae,1318444.884,6.120,67.000,1.826,0.340,-0.469,0.280,-0.553,213.000,1678.000,2951.000,887.000,11.756,51.942,Carnivorous,Indo-Malay,1292486.872,"Hill, M. Eames, J. C., Trai, L. T. and Cu, N. (2001) Population sizes, status and habitat associations of forest birds in Chu Yang Sin Nature Reserve, Dak Lak Province, Vietnam. Bird Conservation International 11: 49-70.",Birds
Psarocolius angustifrons,2231191.923,6.349,271.500,2.434,0.120,-0.921,97.000,1.987,257.000,2475.000,480.000,198.000,11.984,39.808,Omnivorous,Neotropic,2231141.755,"Terborgh, J., Robinson, S. K., Parker, T. A., Munn, C. A. and Pierpont, N. (1990) Structure and organization of an Amazonian Forest bird community. Ecological Monographs 60: 213-238.",Birds
Psarocolius decumanus,10581709.930,7.025,206.300,2.314,0.048,-1.319,2.500,0.398,256.000,1937.000,596.000,203.000,11.978,47.375,Herbivorous,Neotropic,10576359.120,"Thiollay, J. M. (1986) Structure comparee du peuplement avien dans trois sites de foret primaire en Guyane. Revue d'Ecologie (Terre et la Vie) 41: 59-105.",Birds
Psarocolius viridis,4930418.698,6.693,286.950,2.458,0.068,-1.167,2.500,0.398,262.000,2396.000,458.000,134.000,11.993,42.913,Carnivorous,Neotropic,4927750.276,"Thiollay, J-M. (1992) Influence of selective logging on bird species diversity in a Guianan rain forest. Cons. Biol. 6: 47-63",Birds
Pseudocolaptes boissonneautii,395936.970,5.598,43.900,1.642,0.100,-1.000,101.300,2.006,152.500,1123.000,472.000,2434.500,11.561,46.700,Carnivorous,Neotropic,395876.192,"Cresswell, W., Hughes, M., Mellanby, R., Bright, S., Catry, P., Chaves, J., Freile, J., Gabela, A., Martineau, H., Macleod, R., McPhie, F., Anderson, N., Holt, S., Barabas, S., Chapel, C. and Sanchez, T. (1999) Densities and habitat preferences of Andean Densities and habitat preferences of Andean cloud-forest birds in pristine and degraded habitats in north-eastern Ecuador. Bird Conservation International 9:129-145.",Birds
Psittacula krameri,8077032.820,6.907,116.110,2.065,0.530,-0.276,0.346,-0.461,265.000,855.000,2947.000,322.000,11.378,64.621,Herbivorous,Afrotropic,3967043.496,"Jones, P., Vickery, J., Holt, S. and Cresswell, W. (1996) A preliminary assessment of some factors influencing the density and distribution of palearctic passerine migrants wintering in the Sahel zone of West Africa. Bird Study 43: 73-84.",Birds
Psophia crepitans,2593233.785,6.414,1026.000,3.011,0.146,-0.836,2.500,0.398,261.000,2449.000,512.000,163.000,11.991,46.467,Herbivorous,Neotropic,2593223.303,"Thiollay, J-M. (1992) Influence of selective logging on bird species diversity in a Guianan rain forest. Cons. Biol. 6: 47-63",Birds
Psophia leucoptera,1527675.853,6.184,1315.580,3.119,0.090,-1.046,97.000,1.987,258.000,2281.000,497.000,168.000,11.993,40.192,Herbivorous,Neotropic,1527677.801,"Terborgh, J., Robinson, S. K., Parker, T. A., Munn, C. A. and Pierpont, N. (1990) Structure and organization of an Amazonian Forest bird community. Ecological Monographs 60: 213-238.",Birds
Psophocichla litsitsirupa,3407132.618,6.532,74.000,1.869,0.027,-1.569,100.000,2.000,206.000,768.000,2943.000,1155.000,11.611,68.117,Carnivorous,Afrotropic,3407141.532,"Tarboton, W. R. (1980) Avan populations in the Transvaal savanna. Proc. IV Pan-Afr. Orn. Congr. 113-124.",Birds
Pterocles namaqua,2037438.897,6.309,177.000,2.248,0.020,-1.695,20.000,1.301,196.000,339.500,4308.500,1081.000,11.059,77.071,Herbivorous,Afrotropic,2037428.611,"Dean, W. R. J. (1995) Where birds are rare or fill the air: the protection of the endemic and the nomadic avifaunas of the Karoo. PhD thesis, Zoology Dept, University of Cape Town.",Birds
Pteroglossus aracari,3320102.777,6.521,250.160,2.398,0.084,-1.076,2.500,0.398,259.000,1930.000,567.000,211.000,11.993,49.188,Herbivorous,Neotropic,3316479.749,"Thiollay, J. M. (1986) Structure comparee du peuplement avien dans trois sites de foret primaire en Guyane. Revue d'Ecologie (Terre et la Vie) 41: 59-105.",Birds
Pteroglossus beauharnaesii,1824124.768,6.261,215.910,2.334,0.080,-1.097,97.000,1.987,257.000,2198.000,526.000,172.000,11.994,40.950,Herbivorous,Neotropic,1824130.171,"Terborgh, J., Robinson, S. K., Parker, T. A., Munn, C. A. and Pierpont, N. (1990) Structure and organization of an Amazonian Forest bird community. Ecological Monographs 60: 213-238.",Birds
Pteroglossus inscriptus,2978417.753,6.474,125.820,2.100,0.010,-2.000,97.000,1.987,257.000,1911.000,530.000,209.000,11.984,46.383,Herbivorous,Neotropic,2977636.573,"Terborgh, J., Robinson, S. K., Parker, T. A., Munn, C. A. and Pierpont, N. (1990) Structure and organization of an Amazonian Forest bird community. Ecological Monographs 60: 213-238.",Birds
Pteroglossus viridis,1558684.896,6.193,135.000,2.130,0.015,-1.839,2.500,0.398,263.000,2235.000,547.000,178.500,12.012,50.483,Herbivorous,Neotropic,1557901.228,"Thiollay, J-M. (1992) Influence of selective logging on bird species diversity in a Guianan rain forest. Cons. Biol. 6: 47-63",Birds
Pterophanes cyanopterus,232558.317,5.367,9.250,0.966,0.500,-0.301,101.300,2.006,126.000,1020.500,540.500,2931.000,11.493,43.392,Herbivorous,Neotropic,232558.945,"Cresswell, W., Hughes, M., Mellanby, R., Bright, S., Catry, P., Chaves, J., Freile, J., Gabela, A., Martineau, H., Macleod, R., McPhie, F., Anderson, N., Holt, S., Barabas, S., Chapel, C. and Sanchez, T. (1999) Densities and habitat preferences of Andean Densities and habitat preferences of Andean cloud-forest birds in pristine and degraded habitats in north-eastern Ecuador. Bird Conservation International 9:129-145.",Birds
Pteroptochos tarnii,275050.027,5.439,147.000,2.167,0.350,-0.456,25.000,1.398,69.000,1548.000,3397.000,680.000,11.593,50.817,Carnivorous,Neotropic,270527.671,"Ralph, C.J. (1985) Habitat association patterns of forest and steppe birds of northern Patagonia, Argentina. Condor 87:471-483.",Birds
Pteruthius flaviscapis,3462139.947,6.539,38.670,1.587,0.220,-0.658,0.280,-0.553,193.000,1527.000,4676.000,776.000,11.601,47.908,Carnivorous,Indo-Malay,2612880.853,"Hill, M. Eames, J. C., Trai, L. T. and Cu, N. (2001) Population sizes, status and habitat associations of forest birds in Chu Yang Sin Nature Reserve, Dak Lak Province, Vietnam. Bird Conservation International 11: 49-70.",Birds
Pulsatrix perspicillata,12679344.790,7.103,983.550,2.993,0.015,-1.824,97.000,1.987,255.000,1840.000,669.000,229.000,11.947,49.108,Carnivorous,Neotropic,12668073.710,"Thiollay, J. M. (1986) Structure comparee du peuplement avien dans trois sites de foret primaire en Guyane. Revue d'Ecologie (Terre et la Vie) 41: 59-105.",Birds
Pycnonotus barbatus,19570707.690,7.292,32.100,1.507,0.792,-0.102,100.000,2.000,249.000,900.000,1747.000,520.000,11.623,65.433,Herbivorous,Afrotropic,18328187.310,"Vernon, C. J. (1985) Bird populations in two woodlands near Lake Kyle, Zimbabwe. Honeyguide 31: 148-161.",Birds
Pycnonotus leucotis,1740447.548,6.241,204.000,2.310,173.000,2.238,1240.000,3.093,249.000,191.000,7233.500,194.000,10.658,73.008,Omnivorous,Palearctic,926852.375,"Mendelsohn, J. M. (1989) Habitat preferences, population size, food and breeding of six owl species in the Springbok Flats, South Africa. Ostrich 60: 183-190.",Birds
Pygarrhichas albogularis,470306.554,5.672,24.000,1.380,0.250,-0.602,25.000,1.398,66.000,1273.000,3288.000,463.500,11.389,50.808,Carnivorous,Neotropic,457791.672,"Ralph, C.J. (1985) Habitat association patterns of forest and steppe birds of northern Patagonia, Argentina. Condor 87:471-483.",Birds
Pygiptila stellaris,4692680.119,6.671,24.100,1.382,0.390,-0.409,180.000,2.255,259.000,2363.000,455.000,158.000,11.992,41.800,Carnivorous,Neotropic,4691824.761,"Terborgh, J., Robinson, S. K., Parker, T. A., Munn, C. A. and Pierpont, N. (1990) Structure and organization of an Amazonian Forest bird community. Ecological Monographs 60: 213-238.",Birds
Pygochelidon cyanoleuca,13151095.240,7.119,9.700,0.987,0.100,-1.000,25.000,1.398,227.000,1279.000,1681.000,299.000,11.791,53.975,Carnivorous,Neotropic,13149412.150,"Ralph, C.J. (1985) Habitat association patterns of forest and steppe birds of northern Patagonia, Argentina. Condor 87:471-483.",Birds
Pyrilia barrabandi,3467559.381,6.540,140.000,2.146,0.010,-2.000,97.000,1.987,258.000,2456.000,463.000,163.000,11.991,41.208,Omnivorous,Neotropic,3467572.568,"Terborgh, J., Robinson, S. K., Parker, T. A., Munn, C. A. and Pierpont, N. (1990) Structure and organization of an Amazonian Forest bird community. Ecological Monographs 60: 213-238.",Birds
Pyrilia caica,1290462.290,6.111,132.000,2.121,13.600,1.134,0.250,-0.602,263.000,2207.000,565.000,169.000,12.016,51.517,Herbivorous,Neotropic,1289700.848,"Thiollay, J-M. (1992) Influence of selective logging on bird species diversity in a Guianan rain forest. Cons. Biol. 6: 47-63",Birds
Pyrrhura cruentata,233538.754,5.368,75.870,1.880,0.229,-0.640,80.000,1.903,230.000,1172.000,1684.000,316.000,11.904,48.008,Omnivorous,Neotropic,233522.953,"Marsden, S. J., Whiffin, W., Sadgrove, L. and Guimaraes, P. Jr (2000) Parrot populations and habitat use in and around two lowland Atlantic forest reserves. Biological Conservation 96: 209-217.",Birds
Pyrrhura leucotis,273323.252,5.437,75.870,1.880,0.420,-0.377,80.000,1.903,227.000,1205.000,1771.000,365.000,11.882,48.133,Herbivorous,Neotropic,273319.279,"Marsden, S. J., Whiffin, W., Sadgrove, L. and Guimaraes, P. Jr (2000) Parrot populations and habitat use in and around two lowland Atlantic forest reserves. Biological Conservation 96: 209-217.",Birds
Pyrrhura picta,1473087.181,6.168,62.100,1.793,0.080,-1.097,97.000,1.987,262.000,2239.000,539.000,183.000,12.013,50.975,Omnivorous,Neotropic,1473085.721,"Terborgh, J., Robinson, S. K., Parker, T. A., Munn, C. A. and Pierpont, N. (1990) Structure and organization of an Amazonian Forest bird community. Ecological Monographs 60: 213-238.",Birds
Pyrrhura rupicola,545593.270,5.737,74.990,1.875,0.070,-1.155,97.000,1.987,253.000,1856.000,727.000,268.000,11.998,45.358,Herbivorous,Neotropic,545595.215,"Terborgh, J., Robinson, S. K., Parker, T. A., Munn, C. A. and Pierpont, N. (1990) Structure and organization of an Amazonian Forest bird community. Ecological Monographs 60: 213-238.",Birds
Pytilia melba,6033485.293,6.781,15.400,1.188,0.120,-0.921,100.000,2.000,238.000,619.000,2495.000,683.000,11.450,69.083,Herbivorous,Afrotropic,6033450.019,"Vernon, C. J. (1985) Bird populations in two woodlands near Lake Kyle, Zimbabwe. Honeyguide 31: 148-161.",Birds
Quelea quelea,10536856.040,7.023,18.590,1.269,1.350,0.130,0.280,-0.553,222.000,709.000,2350.000,986.000,11.523,68.058,Herbivorous,Afrotropic,10535659.980,"Jones, P., Vickery, J., Holt, S. and Cresswell, W. (1996) A preliminary assessment of some factors influencing the density and distribution of palearctic passerine migrants wintering in the Sahel zone of West Africa. Bird Study 43: 73-84.",Birds
Querula purpurata,5636401.074,6.751,107.350,2.031,0.100,-1.000,97.000,1.987,258.000,2231.000,490.000,180.000,11.992,42.892,Omnivorous,Neotropic,5633332.737,"Thiollay, J-M. (1992) Influence of selective logging on bird species diversity in a Guianan rain forest. Cons. Biol. 6: 47-63",Birds
Ramphastos tucanus,5001252.661,6.699,659.580,2.819,0.060,-1.222,97.000,1.987,258.000,2275.000,520.000,182.000,11.989,42.358,Herbivorous,Neotropic,5001263.176,"Terborgh, J., Robinson, S. K., Parker, T. A., Munn, C. A. and Pierpont, N. (1990) Structure and organization of an Amazonian Forest bird community. Ecological Monographs 60: 213-238.",Birds
Ramphastos vitellinus,1748034.335,6.243,360.360,2.557,0.040,-1.398,97.000,1.987,263.000,2248.000,540.000,161.000,12.009,50.308,Herbivorous,Neotropic,1748025.504,"Terborgh, J., Robinson, S. K., Parker, T. A., Munn, C. A. and Pierpont, N. (1990) Structure and organization of an Amazonian Forest bird community. Ecological Monographs 60: 213-238.",Birds
Ramphocaenus melanurus,9161054.944,6.962,9.700,0.987,0.010,-2.000,180.000,2.255,259.000,2136.000,540.000,172.000,11.984,45.521,Carnivorous,Neotropic,9153447.009,"Munn, C. (1985) Permanent canopy and understory flocks in Amazonia: species composition and population density. Ecological Monographs 36: 683-712",Birds
Ramphocelus carbo,10498851.580,7.021,25.920,1.414,0.097,-1.015,2.500,0.398,257.000,1924.000,607.000,219.000,11.978,48.313,Omnivorous,Neotropic,10495988.610,"Thiollay, J-M. (1992) Influence of selective logging on bird species diversity in a Guianan rain forest. Cons. Biol. 6: 47-63",Birds
Ramphomicron microrhynchum,203532.196,5.309,3.600,0.556,0.850,-0.071,101.300,2.006,121.000,1044.000,436.000,2958.000,11.512,42.100,Herbivorous,Neotropic,203532.079,"Cresswell, W., Hughes, M., Mellanby, R., Bright, S., Catry, P., Chaves, J., Freile, J., Gabela, A., Martineau, H., Macleod, R., McPhie, F., Anderson, N., Holt, S., Barabas, S., Chapel, C. and Sanchez, T. (1999) Densities and habitat preferences of Andean Densities and habitat preferences of Andean cloud-forest birds in pristine and degraded habitats in north-eastern Ecuador. Bird Conservation International 9:129-145.",Birds
Ramphotrigon fuscicauda,413034.131,5.616,18.600,1.270,0.020,-1.699,97.000,1.987,252.000,1873.000,696.000,303.000,11.998,45.900,Carnivorous,Neotropic,413025.272,"Terborgh, J., Robinson, S. K., Parker, T. A., Munn, C. A. and Pierpont, N. (1990) Structure and organization of an Amazonian Forest bird community. Ecological Monographs 60: 213-238.",Birds
